Page,Type,Confidence,Category,Element,Detail,Evidence
"https://www.krishaweb.com/paid-advertising","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/content-marketing","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/content-marketing","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/software-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/software-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/crm-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/crm-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/erp-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/erp-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/elearning-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/elearning-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/web-portal-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/web-portal-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/supply-chain-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/supply-chain-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/financial-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/financial-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/industries-we-serve","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/industries-we-serve","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/education-website-design-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/education-website-design-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/healthcare-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/healthcare-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/manufacturing-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/manufacturing-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/government-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/government-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/retail-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/retail-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/real-estate-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/real-estate-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/banking-and-finance-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/banking-and-finance-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
